Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
391,902.018388,3,0,136226,0.0500
392,-432.457034,0,0,136510,0.0500
393,51.919177,1,0,136805,0.0500
394,-13.150122,1,0,137045,0.0500
395,84.108878,2,0,137341,0.0500
396,54.373232,2,0,137608,0.0500
397,214.653588,2,0,137844,0.0500
398,53.975735,1,0,138147,0.0500
399,-270.367369,1,0,138444,0.0500
400,-217.605101,2,1,138801,0.0500
401,2576.731636,6,0,139093,0.0500
402,-1277.411898,1,2,139400,0.0500
403,-544.838811,1,1,139738,0.0500
404,283.743142,2,0,140004,0.0500
405,-793.215998,0,0,140244,0.0500
406,-278.936836,1,0,140475,0.0500
407,-209.586117,0,0,140706,0.0500
408,1394.836862,4,0,140999,0.0500
409,873.937345,3,0,141306,0.0500
410,-288.181090,1,0,141596,0.0500
411,-767.634759,0,0,141824,0.0500
412,308.900948,2,0,142059,0.0500
413,1844.354290,5,0,142378,0.0500
414,-665.650458,0,0,142634,0.0500
415,1157.846441,3,0,142976,0.0500
416,39.364378,2,0,143248,0.0500
417,1228.589984,4,0,143534,0.0500
418,-795.756534,1,1,143878,0.0500
419,-542.761905,1,0,144184,0.0500
420,2593.963828,7,1,144526,0.0500
421,-649.464547,1,0,144863,0.0500
422,-259.370525,1,0,145142,0.0500
423,922.993907,3,0,145450,0.0500
424,1218.088650,3,0,145748,0.0500
425,119.165039,1,0,146027,0.0500
426,1918.745471,5,0,146350,0.0500
427,854.585321,4,0,146655,0.0500
428,3600.620472,8,0,147009,0.0500
429,2764.403513,6,0,147382,0.0500
430,-29.727786,2,0,147709,0.0500
431,-416.741710,1,0,147979,0.0500
432,-247.952188,2,0,148289,0.0500
433,-353.383808,1,0,148539,0.0500
434,530.006928,2,0,148813,0.0500
435,318.413731,2,0,149086,0.0500
436,1318.774275,3,0,149133,0.0500
